DATA,ALBUFEIRA DA BEMPOSTA (R.E.) (06S/01A),,ALBUFEIRA DA BOUÇÃ (R.E.) (14H/01A),,ALBUFEIRA DA VALEIRA (R.E.) (07M/02A),,
01/01/2019 00:00,,,26462.59,(vc),,,
01/02/2019 00:00,480622.46,(vc),15337.73,(vc),565197.7,(vc),
01/04/2019 00:00,338670.72,(vc),24364.8,(vc),406399.68,(vc),
01/05/2019 00:00,,,29167.78,(vc),,,
01/06/2019 00:00,,,31622.4,(vc),,,
01/07/2019 00:00,196514.21,(vc),79602.05,(vc),286240.61,(vc),
01/08/2019 00:00,,,57853.44,(vc),,,
01/09/2019 00:00,316431.36,(vc),60834.24,(vc),455725.44,(vc),
01/10/2019 00:00,146187.07,(vc),76173.7,(vc),233985.02,(vc),
01/11/2019 00:00,269619.84,(vc),46137.6,(vc),336026.88,(vc),
01/12/2019 00:00,1876219.2,(vc),238163.33,(vc),2604181.54,(vc),
01/01/2020 00:00,1161943.49,(vc),259429.82,(vc),1505689.34,(vc),
01/02/2020 00:00,838248.48,(vc),232319.23,(vc),986855.62,(vc),
01/03/2020 00:00,631593.5,(vc),67227.84,(vc),688696.99,(vc),
01/04/2020 00:00,868190.4,(vc),75193.92,(vc),1052377.92,(vc),
01/06/2020 00:00,332424,(vc),63789.12,(vc),461712.96,(vc),
01/07/2020 00:00,169730.21,(vc),47702.3,(vc),209932.99,(vc),
01/08/2020 00:00,195978.53,(vc),18025.63,(vc),444373.34,(vc),
01/09/2020 00:00,470292.48,(vc),19595.52,(vc),518114.88,(vc),
01/10/2020 00:00,468077.18,(vc),98136.58,(vc),725819.62,(vc),
01/11/2020 00:00,481204.8,(vc),251735.04,(vc),863809.92,(vc),
01/12/2020 00:00,515002.75,(vc),263367.07,(vc),946225.15,(vc),
01/01/2021 00:00,733935.17,(vc),144258.62,(vc),1206485.28,(vc),
01/02/2021 00:00,1691698.18,(vc),304020.86,(vc),2615372.93,(vc),
01/04/2021 00:00,681825.6,(vc),71798.4,(vc),851990.4,(vc),
01/05/2021 00:00,234895.68,(vc),,,,,
01/06/2021 00:00,406762.56,(vc),114099.84,(vc),433408.32,(vc),
01/07/2021 00:00,556759.01,(vc),119108.45,(vc),560964.1,(vc),
01/09/2021 00:00,204301.44,(vc),39864.96,(vc),556632,(vc),
01/10/2021 00:00,166569.7,(vc),74673.79,(vc),421044.48,(vc),
01/11/2021 00:00,178485.12,(vc),119646.72,(vc),409691.52,(vc),
01/12/2021 00:00,276464.45,(vc),131429.09,(vc),422812.22,(vc),
01/01/2022 00:00,,,112466.02,(vc),565437.02,(vc),
01/02/2022 00:00,138741.12,(vc),33336.58,(vc),280675.58,(vc),
01/04/2022 00:00,,,55442.88,(vc),464564.16,(vc),
01/05/2022 00:00,,,42961.54,(vc),402911.71,(vc),
01/06/2022 00:00,94115.52,(vc),15500.16,(vc),205364.16,(vc),
01/10/2022 00:00,,,5035.39,(vc),162230.69,(vc),
